동,utm_x,utm_y,가격,소재지,매물특징,계약/전용면적,해당층/총층,입주가능일,방향,현재업종,추천업종,용도지역,주구조,사용승인일,매물번호,제목,대지/연면적,건축/전용면적,지상층/지하층,용적률/건폐율,월관리비,현재용도,추천용도,총점포수,사용전력,총사무실수,권리금,준공인가일,사용검사일,경도,위도
예시동,307302.07569410175,3888447.2483554585,"월세1,000/60",광주시 서구 풍암동,-,84㎡/84㎡(전용률100%),2/3층,즉시입주,북향(주된 출입구 기준),학원/독서실,"학원,다양한업종가능",-,-,1999.03.04,2518928728,단지내상가 한국아파트상가2층,,,,,,,,,,,없음,,,126.8853401,35.1204526
예시동,302908.14450614527,3888702.9844809854,"월세3,000/200",광주시 서구 세하동,동하마을 입구 2차선 도로접한 1종근린생활시설,,,즉시입주,남동향(주된 출입구 기준),,,-,철골조,2015.05.08,2515864649,창고1층,450㎡/248.46㎡,248.46㎡/-㎡,1/-층,55.2/55.2%,,-,-,,-,,,,,126.8370906,35.1219063
예시동,302920.20396899927,3888695.053321118,"월세3,000/200",광주시 서구 세하동,동하마을 입구 2차선 도로접한 1종근린생활시설,,,즉시입주,남동향(주된 출입구 기준),,,-,철골조,2015.05.08,2515864649,창고1층,450㎡/248.46㎡,248.46㎡/-㎡,1/-층,55.2/55.2%,,-,-,,-,,,,,126.8372247,35.1218372
예시동,305034.16844031063,3888833.7656764095,"월세1,000/60",광주시 서구 금호동,I 사진有 I 무권리 내부 룸3 탕비실 내부화장실 가성비 사무실,125.26㎡/112.3㎡(전용률90%),2/3층,즉시입주,남서향(주된 출입구 기준),,,,,2003.12.05,2519145633,중소형사무실2층,,,,,-,,,,,-,,,,126.8603764,35.1234988
예시동,305034.16844031063,3888833.7656764095,"월세1,000/60",광주시 서구 금호동,제2순환도로 바로 옆 사무실용도 주차편리 관리비없음,125.26㎡/125.26㎡(전용률100%),2/3층,즉시입주,남서향(주된 출입구 기준),,,,,2003.12.05,2515826681,중소형사무실2층,,,,,0원,,,,,-,,,,126.8603764,35.1234988
예시동,305034.16844031063,3888833.7656764095,"월세1,000/70",광주시 서구 금호동,"사진有,순환도로근접 출퇴근용이,내부칸막이 공간분리,주차편리",125.26㎡/125.26㎡(전용률100%),2/3층,즉시입주,남서향(주된 출입구 기준),,,,,2003.12.05,2514407238,중소형사무실2층,,,,,-,,,,,-,,,,126.8603764,35.1234988
예시동,305034.16844031063,3888833.7656764095,"월세1,000/70",광주시 서구 금호동,"사진有,순환도로근접 출퇴근용이,내부칸막이 공간분리,주차편리",125.26㎡/125.26㎡(전용률100%),2/3층,즉시입주,남서향(주된 출입구 기준),,,,,2003.12.05,2514407238,중소형사무실2층,,,,,-,,,,,-,,,,126.8603764,35.1234988
예시동,305326.03025849245,3888784.819021864,"월세2,000/120",광주시 서구 금호동,l 코너자리 l 급임대 l 카페 음식점 미용실 l 타업종가 l 통행多,68㎡/68㎡(전용률100%),1/3층,즉시입주,서향(주된 출입구 기준),-,-,-,-,2011.06.10,2515487115,일반상가1층,,,,,,,,,,,,,,126.863589,35.1231142
예시동,305353.8786221288,3888766.503203682,"월세1,000/70",광주시 서구 금호동,l 사진有 l 사무실적합 l 순환도로인접 l 바닥천장마감 l 주차편리,117.84㎡/117.84㎡(전용률100%),2/3층,즉시입주,남서향(주된 출입구 기준),,,,,2002.07.10,2518427252,중소형사무실2층,,,,,-,,,,,-,,,,126.8638987,35.1229546
예시동,305373.09025849245,3888798.9327673186,"월세1,000/70",광주시 서구 금호동,"순환도로인접, 사무실적합",89.04㎡/89.04㎡(전용률100%),2/2층,즉시입주,서향(주된 출입구 기준),,,,,2007.09.13,2514869060,일반사무실2층,,,,,-,,,,,-,,,,126.8641018,35.1232505
